ID,Title,Posted,Budget,Duration,Number of Offers,Tags,Link
221,programing  application سحابي,from 4 days,$850.00 ,30 days,7,"design  online market,  management متاجر الإلكترونية, cloud computing, programing  apps , dev apps , create  application",https://mostaql.com/project/1077979-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B3%D8%AD%D8%A7%D8%A8%D9%8A
222,نحتاج مبرمج في  odoo   Community,from 4 days,$150.00 ,7 days,3,"programing,  odoo  ",https://mostaql.com/project/1077776-%D9%86%D8%AD%D8%AA%D8%A7%D8%AC-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%81%D9%8A-%D8%A7%D9%88%D8%AF%D9%88-community
223, application وweb إلكتروني لوكلاء السفر ومنظمي الرحلات السياحية,from 4 days,"$8,000.00 ",180 days,25,"java, create  online market, design  online market,programming engineer, التشفير, create  application, HTML, java script",https://mostaql.com/project/1077903-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%88%D9%83%D9%84%D8%A7%D8%A1-%D8%A7%D9%84%D8%B3%D9%81%D8%B1-%D9%88%D9%85%D9%86%D8%B8%D9%85%D9%8A-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A%D8%A9
224,design ورفع  application دردشة وألعاب على iOS و Android,from 4 days,$824.50 ,30 days,6,"design  applicationات, programing  apps , flutter, programing ألعاب الجوال, devالألعاب, design ألعاب, dev apps , programing  applicationات أيفون, programing android ",https://mostaql.com/project/1077803-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%B1%D9%81%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AF%D8%B1%D8%AF%D8%B4%D8%A9-%D9%88%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-%D8%B9%D9%84%D9%89-ios-%D9%88-android
225,ربط pts وATg وpos في برنامجي الحسابي مع جهاز الفواتير,from 4 days,$390.00 ,30 days,3,"programing, واجهة programing  apps ,programming engineer, programing web, devweb, خدمات web, Restful API",https://mostaql.com/project/1077820-%D8%B1%D8%A8%D8%B7-pts-%D9%88atg-%D9%88pos-%D9%81%D9%8A-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC%D9%8A-%D8%A7%D9%84%D8%AD%D8%B3%D8%A7%D8%A8%D9%8A-%D9%85%D8%B9-%D8%AC%D9%87%D8%A7%D8%B2-%D8%A7%D9%84%D9%81%D9%88%D8%A7%D8%AA%D9%8A%D8%B1
226,إعادة إنتاج design لتقريب 35 نافذة من صور موجودة ل application جوال باستخدام Flutter Flow,from 5 days,$250.00 ,15 days,5,"Figma, flutter, الdesign الإبداعي, photoshop, programing data base, programing  apps , programing iOS, programing  applicationات أيفون, programing ألعاب الجوال, programing web, programing, واجهة programing  apps , programing android , programing بطريقة MVC",https://mostaql.com/project/1077638-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%A5%D9%86%D8%AA%D8%A7%D8%AC-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%84%D8%AA%D9%82%D8%B1%D9%8A%D8%A8-35-%D9%86%D8%A7%D9%81%D8%B0%D8%A9-%D9%85%D9%86-%D8%B5%D9%88%D8%B1-%D9%85%D9%88%D8%AC%D9%88%D8%AF%D8%A9-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-flutter-flow
227,ربط سيرفرات مختلفة على دومين واحد,from 5 days,$50.00 ,2 days,4,"الدعم الفني, cloud computing, أمن وحماية الweb, programing, programing web",https://mostaql.com/project/1077542-%D8%B1%D8%A8%D8%B7-%D8%B3%D9%8A%D8%B1%D9%81%D8%B1%D8%A7%D8%AA-%D9%85%D8%AE%D8%AA%D9%84%D9%81%D8%A9-%D8%B9%D9%84%D9%89-%D8%AF%D9%88%D9%85%D9%8A%D9%86-%D9%88%D8%A7%D8%AD%D8%AF
228,create مشروع متحرك على برنامج أدوبي أنميت,from 5 days,$100.00 ,5 days,1,"programing, programing data base, programing web, programing  apps , programing android , programing iOS, programing  applicationات أيفون, programing ألعاب الجوال",https://mostaql.com/project/1077633-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%AD%D8%B1%D9%83-%D8%B9%D9%84%D9%89-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A3%D8%AF%D9%88%D8%A8%D9%8A-%D8%A3%D9%86%D9%85%D9%8A%D8%AA
229,programing نظام احترافي لإدارة مطاحن الذهب (نسخة كمبيوتر +  application جوال),from 5 days,$875.00 ,30 days,12,"programing android , programing iOS, programing  applicationات سطح المكتب, devweb, design web إلكتروني, programing web, python, flutter, React Native, design data base, الفكرة الdesignية, programing  apps ",https://mostaql.com/project/1077467-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%85%D8%B7%D8%A7%D8%AD%D9%86-%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D9%86%D8%B3%D8%AE%D8%A9-%D9%83%D9%85%D8%A8%D9%8A%D9%88%D8%AA%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84
230,مطور wordpress لمساعدتي في webي,from 5 days,$50.00 ,30 days,18,"wordpress, programing web, create web wordpress,  application development , programing,programming engineer, flutter",https://mostaql.com/project/1077621-%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%AA%D9%8A-%D9%81%D9%8A-%D9%85%D9%88%D9%82%D8%B9%D9%8A
231,إعادة design web إلكتروني,from 4 days,$45.00 ,7 days,10,"إعادة صياغة المحتوى, design شعار, create  online market, التسويق الإلكتروني, تحسين محركات البحث, design UI UX, programing, design UX",https://mostaql.com/project/1077696-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
232,web توظيف وعرض سلع وخدمات احترافي ويب 3 متلائم مع جميع المتصفحات والمقاسات,from 4 days,"$1,000.00 ",20 days,13,"design web إلكتروني, design web, الdesign الإبداعي, design UI, design UX",https://mostaql.com/project/1077780-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D9%88%D8%B8%D9%8A%D9%81-%D9%88%D8%B9%D8%B1%D8%B6-%D8%B3%D9%84%D8%B9-%D9%88%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%88%D9%8A%D8%A8-3-%D9%85%D8%AA%D9%84%D8%A7%D8%A6%D9%85-%D9%85%D8%B9-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D9%85%D8%AA%D8%B5%D9%81%D8%AD%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%85%D9%82%D8%A7%D8%B3%D8%A7%D8%AA
233,تسطيب آخر نسخة من نظام موودل التعليمي على استضافة مجانية مع إضافة التاريخ الهجري,from 4 days,$37.50 ,2 days,2,"اللغة العربية, design web إلكتروني, مودل, programing, PHP",https://mostaql.com/project/1077768-%D8%AA%D8%B3%D8%B7%D9%8A%D8%A8-%D8%A2%D8%AE%D8%B1-%D9%86%D8%B3%D8%AE%D8%A9-%D9%85%D9%86-%D9%86%D8%B8%D8%A7%D9%85-%D9%85%D9%88%D9%88%D8%AF%D9%84-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D8%B3%D8%AA%D8%B6%D8%A7%D9%81%D8%A9-%D9%85%D8%AC%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D8%B9-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D9%87%D8%AC%D8%B1%D9%8A
234,create web wordpress,from 4 days,$180.00 ,2 days,19,"design  online market, الdesign الإبداعي, design UI, design UI UX, design UX, adobe xd, Adobe Illustrator",https://mostaql.com/project/1077697-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
235,create web لشركة تسويق,from 5 days,$250.00 ,30 days,60,"design web إلكتروني, create web إلكتروني, create web wordpress, programing, programing web, programing  apps , programing iOS, programing  applicationات أيفون, programing data base, programing android ",https://mostaql.com/project/1077649-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%B3%D9%88%D9%8A%D9%82
236,devweb ويب باستخدام PERN stack,from 5 days,$600.00 ,120 days,19,"design web إلكتروني, java script, node.js, React, PostgreSQL, Express JS",https://mostaql.com/project/1077515-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-pern-stack
237,dev applicationات Flutter لcreate  application إعلانات مبوبة ومعرض (iOS و Android + لوحة تحكم),from 5 days,"$6,000.00 ",50 days,13,"programing,  application development , programing data base, programing web, programing  apps ,programming engineer, flutter",https://mostaql.com/project/1077474-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-flutter-%D9%84%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%A8%D9%88%D8%A8%D8%A9-%D9%88%D9%85%D8%B9%D8%B1%D8%B6-ios-%D9%88-android-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85
238,create web الكتروني من الصفر,from 4 days,$250.00 ,5 days,8,"java script, CSS, PHP, python, أمن وحماية الweb, create web إلكتروني, programing web, programing, design web إلكتروني",https://mostaql.com/project/1077778-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%B5%D9%81%D8%B1
239,create  application شبيه بطلبات,from 5 days,"$2,000.00 ",30 days,30,"programing android , programing  apps , java, kotlin, Ionic, Swift, programing iOS",https://mostaql.com/project/1077602-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B4%D8%A8%D9%8A%D9%87-%D8%A8%D8%B7%D9%84%D8%A8%D8%A7%D8%AA
240,أتمتة عمليات الحجوزات عن طريق n8n,from 5 days,$350.00 ,7 days,5," application development , إدخال بيانات, programing data base, programing, programing web, واجهة programing  apps ",https://mostaql.com/project/1077537-%D8%A3%D8%AA%D9%85%D8%AA%D8%A9-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%AD%D8%AC%D9%88%D8%B2%D8%A7%D8%AA-%D8%B9%D9%86-%D8%B7%D8%B1%D9%8A%D9%82-n8n
241,create لوحة تحكم تفاعلية وجذابة باستخدام Power BI,from 5 days,$50.00 ,2 days,55,"Power BI, programing,  application development , programing data base, programing web, programing  apps ,programming engineer",https://mostaql.com/project/1077415-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A%D8%A9-%D9%88%D8%AC%D8%B0%D8%A7%D8%A8%D8%A9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-power-bi
242,dev application احترافي لمتجر قيمنق على Android وiOS,from 5 days,$950.00 ,15 days,4,"java, Swift, Ionic, kotlin, programing  apps , dev apps , programing iOS, programing android ",https://mostaql.com/project/1076891-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%85%D8%AA%D8%AC%D8%B1-%D9%82%D9%8A%D9%85%D9%86%D9%82-%D8%B9%D9%84%D9%89-android-%D9%88ios
243,منصة إلكترونية مدعومة بالذكاء الاصطناعي لتحليل السير الذاتية,from 5 days,"$1,000.00 ",30 days,13," application development , programing data base, programing web, programing  apps ,programming engineer, programing",https://mostaql.com/project/1077461-%D9%85%D9%86%D8%B5%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%85%D8%AF%D8%B9%D9%88%D9%85%D8%A9-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D8%AA%D8%AD%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%B1-%D8%A7%D9%84%D8%B0%D8%A7%D8%AA%D9%8A%D8%A9
244,مبرمج laravel لتعديل نسخة الساس للأداة Acelle,from 5 days,$500.00 ,14 days,6,"laravel, PHP, design UI UX, programing android , programing data base, programing iOS, programing  applicationات أيفون, programing ألعاب الجوال, programing  apps , programing web, programing, واجهة programing  apps , programing بطريقة MVC",https://mostaql.com/project/1077653-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-laravel-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%86%D8%B3%D8%AE%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D8%B3-%D9%84%D9%84%D8%A3%D8%AF%D8%A7%D8%A9-acelle
245,design  application تعليمي,from 5 days,$95.00 ,7 days,14,"design  applicationات الهواتف الذكية, design  applicationات iOS, الdesign الإبداعي, photoshop, design جرافيك, programing  applicationات أيفون, dev apps , واجهة programing  apps , design  applicationات, programing iOS, programing  apps , testing  applicationات الجوال, create  application",https://mostaql.com/project/1077512-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A
246,مراجعة نهائية احترافية ل application الkotlin,from 5 days,$55.00 ,2 days,4,"kotlin, programing android , android  ستوديو, programing,  application development , programing data base, flutter",https://mostaql.com/project/1077672-%D9%85%D8%B1%D8%A7%D8%AC%D8%B9%D8%A9-%D9%86%D9%87%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A7%D9%84%D9%83%D9%88%D8%AA%D9%84%D9%86
247,web احترافي على غرار web ويكيبيديا بلوحة تحكم شاملة ودقيقة,from 4 days,"$2,000.00 ",22 days,9,"design web إلكتروني, programing web, أمن وحماية الweb, python, PHP, CSS, java script",https://mostaql.com/project/1077781-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D8%B9%D9%84%D9%89-%D8%BA%D8%B1%D8%A7%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7-%D8%A8%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-%D8%B4%D8%A7%D9%85%D9%84%D8%A9-%D9%88%D8%AF%D9%82%D9%8A%D9%82%D8%A9
248,إدارة حملة إعلانية على أمازون السعودية لمنتج,from 5 days,$200.00 ,7 days,4,"التسويق عبر الإنترنت, التسويق الإلكتروني, التسويق عبر web التواصل الاجتماعي, التسويق عبر محركات البحث,  management تسويق, جوجل أدسنس, إعلانات جوجل",https://mostaql.com/project/1077555-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%AD%D9%85%D9%84%D8%A9-%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A3%D9%85%D8%A7%D8%B2%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D9%84%D9%85%D9%86%D8%AA%D8%AC
249,برنامج محاسبة لأمازون ونون,from 5 days,$450.00 ,7 days,9,"design web إلكتروني, programing web, أمن وحماية الweb, python, PHP, CSS, java script",https://mostaql.com/project/1077523-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D8%A9-%D9%84%D8%A3%D9%85%D8%A7%D8%B2%D9%88%D9%86-%D9%88%D9%86%D9%88%D9%86
250,dev application android  للملابس,from 4 days,$230.00 ,5 days,16,"programing  apps , design  applicationات, dev apps , design  applicationات الهواتف الذكية, create  application, programing android , واجهة programing  apps ",https://mostaql.com/project/1077712-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D9%84%D9%84%D9%85%D9%84%D8%A7%D8%A8%D8%B3
251,خبير في Zoho One للربط والإعدادات,from 5 days,$335.00 ,30 days,2,"Zoho,  management بريد الإلكتروني, التسويق عبر البريد الإلكتروني, إدارة علاقات العملاء,  management توظيف, استشارات الشركات الناشئة",https://mostaql.com/project/1077234-%D8%AE%D8%A8%D9%8A%D8%B1-%D9%81%D9%8A-zoho-one-%D9%84%D9%84%D8%B1%D8%A8%D8%B7-%D9%88%D8%A7%D9%84%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%D8%A7%D8%AA
252,devمتجر للخدمات التعليمية والdesign الإبداعي,from 5 days,$100.00 ,3 days,3,"devweb, design هوية تجارية, programing web, design  online market, programing, خدمات web, design web",https://mostaql.com/project/1077233-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D8%AA%D8%AC%D8%B1-%D9%84%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D8%A5%D8%A8%D8%AF%D8%A7%D8%B9%D9%8A
253,نظام  management مبيعات,from 5 days,"$1,200.00 ",30 days,5,"programing,  application development , programing data base, programing web",https://mostaql.com/project/1077267-%D9%86%D8%B8%D8%A7%D9%85-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA
254,web و application معرفة وحجز رحلات الحافلات,from 5 days,$300.00 ,7 days,9,"programing data base, programing  apps , programing android , design  applicationات, dev apps , design  applicationات الهواتف الذكية, واجهة programing  apps ",https://mostaql.com/project/1077246-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AD%D8%A7%D9%81%D9%84%D8%A7%D8%AA
255,مراجعة ثغرات وأخطاء بweb,from 5 days,$50.00 ,7 days,6,"PHP, MySQL, programing,  application development , programing data base, programing web,programming engineer, flutter",https://mostaql.com/project/1077457-%D9%85%D8%B1%D8%A7%D8%AC%D8%B9%D8%A9-%D8%AB%D8%BA%D8%B1%D8%A7%D8%AA-%D9%88%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1-%D8%A8%D9%85%D9%88%D9%82%D8%B9
256,web مشابة لخمسات,from 5 days,$787.00 ,30 days,12,"laravel, programing, programing web, create web إلكتروني,  management web",https://mostaql.com/project/1077174-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%B4%D8%A7%D8%A8%D8%A9-%D9%84%D8%AE%D9%85%D8%B3%D8%A7%D8%AA
257, application نقل ركاب,from 5 days,"$1,000.00 ",30 days,7,"design  applicationات iOS, create  application, design  applicationات,  application development , dev apps , programing  applicationات أيفون, programing  apps , programing iOS, programing",https://mostaql.com/project/1077409-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%86%D9%82%D9%84-%D8%B1%D9%83%D8%A7%D8%A8
258,devweb حجز ادوار عند حلاق,from 5 days,$100.00 ,10 days,8,"wordpress, programing,  application development , programing data base",https://mostaql.com/project/1077290-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D8%AD%D8%AC%D8%B2-%D8%A7%D8%AF%D9%88%D8%A7%D8%B1-%D8%B9%D9%86%D8%AF-%D8%AD%D9%84%D8%A7%D9%82
259,design web تعريفي Wordpress,from 5 days,$200.00 ,3 days,22,"design web, الdesign الإبداعي, design UI, design UX, design web إلكتروني, create web wordpress, الdesign المتجاوب",https://mostaql.com/project/1077222-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%B9%D8%B1%D9%8A%D9%81%D9%8A-wordpress
260,كتابة عطاء مشروع GIS,from 5 days,$100.00 ,1 day,3,"نظم المعلومات الجغرافية, رسم الخرائط, design  applicationات, programing  apps ",https://mostaql.com/project/1077227-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%B9%D8%B7%D8%A7%D8%A1-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-gis
261,dev application عقاري مغلق لربط الوسطاء في مخططين – دخول مخصص بإشراف مباشر,from 5 days,"$2,000.00 ",45 days,13,"programing  apps , design  applicationات, dev apps , design  applicationات iOS, programing android ,  application development , programing,programming engineer",https://mostaql.com/project/1077177-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B9%D9%82%D8%A7%D8%B1%D9%8A-%D9%85%D8%BA%D9%84%D9%82-%D9%84%D8%B1%D8%A8%D8%B7-%D8%A7%D9%84%D9%88%D8%B3%D8%B7%D8%A7%D8%A1-%D9%81%D9%8A-%D9%85%D8%AE%D8%B7%D8%B7%D9%8A%D9%86-%D8%AF%D8%AE%D9%88%D9%84-%D9%85%D8%AE%D8%B5%D8%B5-%D8%A8%D8%A5%D8%B4%D8%B1%D8%A7%D9%81-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1
262,design وprograming ثلاث drop pages,from 5 days,$180.00 ,5 days,65,"design صفحات الهبوط, create drop pages, design UX, design web إلكتروني, create web إلكتروني, PHP, java script, HTML, CSS, html5, design UI",https://mostaql.com/project/1077325-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AB%D9%84%D8%A7%D8%AB-%D8%B5%D9%81%D8%AD%D8%A7%D8%AA-%D9%87%D8%A8%D9%88%D8%B7
263,مطوّر ذكاء اصطناعي لdevنموذج ذكي يحاكي لهجة سعودية تحفيزية واقعية,from 5 days,$60.00 ,10 days,5,"programing,  application development , programing data base, programing web",https://mostaql.com/project/1077293-%D9%85%D8%B7%D9%88%D8%B1-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%B0%D9%83%D9%8A-%D9%8A%D8%AD%D8%A7%D9%83%D9%8A-%D9%84%D9%87%D8%AC%D8%A9-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D8%AD%D9%81%D9%8A%D8%B2%D9%8A%D8%A9-%D9%88%D8%A7%D9%82%D8%B9%D9%8A%D8%A9
264,تعديلات برمجية على web laravel,from 5 days,$50.00 ,2 days,14,"laravel, programing web, devweb, design web, خدمات web, devwebالكامل, create web إلكتروني",https://mostaql.com/project/1077228-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D9%82%D8%B9-laravel
265,ربط web التواصل الاجتماعي وواتساب مع CRM,from 5 days,$250.00 ,5 days,3,"واجهة programing  apps , Front End, Back End, programing data base,programming engineer, programing, flutter, React, node.js, Angular.js, python, java script, laravel, PHP, devwebالكامل",https://mostaql.com/project/1077347-%D8%B1%D8%A8%D8%B7-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A-%D9%88%D9%88%D8%A7%D8%AA%D8%B3%D8%A7%D8%A8-%D9%85%D8%B9-crm
266,programing  application لتنظيم المهام بين الفريق,from 5 days,$360.00 ,30 days,18,"programing data base, الذكاء الاصطناعي, design  applicationات, programing  apps , programing iOS, programing  applicationات أيفون, dev apps , واجهة programing  apps ",https://mostaql.com/project/1077352-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D9%85-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%81%D8%B1%D9%8A%D9%82
267,برنامج ذكاء إصطناعي لتنظيم البيانات,from 5 days,$32.50 ,7 days,20,"الذكاء الاصطناعي, programing android , programing,  application development ,programming engineer, معالجة البيانات",https://mostaql.com/project/1077225-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A5%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA
