,Title,Posted,Budget,Duration(Days),number of offers,Link,Category_English,Category_Arabic
205,إنشاء منصة بذكاء الاصطناعي تعمل على توليد صورة مخصصة لشخصيات محددة,2025-05-13,175.0,30.0,11,https://mostaql.com/project/1067341-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D8%A8%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D8%AA%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D8%AA%D9%88%D9%84%D9%8A%D8%AF-%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D8%AE%D8%B5%D8%B5%D8%A9-%D9%84%D8%B4%D8%AE%D8%B5%D9%8A%D8%A7%D8%AA-%D9%85%D8%AD%D8%AF%D8%AF%D8%A9,Data Analysis,تحليل البيانات
206,تعديل وتهيئة معرض إلكتروني,2025-05-13,175.0,7.0,8,https://mostaql.com/project/1088866-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-%D9%85%D8%B9%D8%B1%D8%B6-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
207,إنشاء موقع وررد بريس لشركة سياحة متعدد اللغات,2025-05-13,175.0,10.0,41,https://mostaql.com/project/1088959-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%B1%D8%B1%D8%AF-%D8%A8%D8%B1%D9%8A%D8%B3-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%B3%D9%8A%D8%A7%D8%AD%D8%A9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%84%D8%BA%D8%A7%D8%AA,Web Development,تطوير الويب
208,إنشاء برنامج بايثون للتعرف على الأشياء في الصور بإستخدام التعلم العميق,2025-05-13,75.0,3.0,16,https://mostaql.com/project/538415-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86-%D9%84%D9%84%D8%AA%D8%B9%D8%B1%D9%81-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D8%B4%D9%8A%D8%A7%D8%A1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%A8%D8%A5%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%B9%D9%85%D9%8A%D9%82,Artificial Intelligence,الذكاء الاصطناعي
209,تطوير تطبيق لشركة,2025-05-13,375.0,35.0,15,https://mostaql.com/project/1088937-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%84%D8%B4%D8%B1%D9%83%D8%A9,Mobile Development,تطوير الهاتف المحمول
210,تحويل متجر الكتروني إلى موبايل أبلكيشن,2025-05-13,175.0,5.0,14,https://mostaql.com/project/1088840-%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A5%D9%84%D9%89-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D8%A3%D8%A8%D9%84%D9%83%D9%8A%D8%B4%D9%86,Mobile Development,تطوير الهاتف المحمول
211,Automation Rebort,2025-05-13,37.5,2.0,10,https://mostaql.com/project/1088802-automation-rebort,Data Engineering,هندسة البيانات
212,إنشاء تطبيق AR ثلاثي الابعاد التجوال داخل المباني لزوار,2025-05-12,1750.0,30.0,7,https://mostaql.com/project/1068527-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-ar-%D8%AB%D9%84%D8%A7%D8%AB%D9%8A-%D8%A7%D9%84%D8%A7%D8%A8%D8%B9%D8%A7%D8%AF-%D8%A7%D9%84%D8%AA%D8%AC%D9%88%D8%A7%D9%84-%D8%AF%D8%A7%D8%AE%D9%84-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D9%86%D9%8A-%D9%84%D8%B2%D9%88%D8%A7%D8%B1,Web Development,تطوير الويب
213,تطوير نظام تذاكر إلكتروني لإدارة طلبات الدعم الفني لقسم تقنية المعلومات وبعض الادارات الاخرى,2025-05-12,375.0,60.0,3,https://mostaql.com/project/1088874-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%86%D8%B8%D8%A7%D9%85-%D8%AA%D8%B0%D8%A7%D9%83%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%B7%D9%84%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D9%81%D9%86%D9%8A-%D9%84%D9%82%D8%B3%D9%85-%D8%AA%D9%82%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA-%D9%88%D8%A8%D8%B9%D8%B6-%D8%A7%D9%84%D8%A7%D8%AF%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AE%D8%B1%D9%89,Data Analysis,تحليل البيانات
214,تسريع وتيرة العمل لمشروع لارافيل - Laravel Project,2025-05-12,375.0,7.0,4,https://mostaql.com/project/1073874-%D8%AA%D8%B3%D8%B1%D9%8A%D8%B9-%D9%88%D8%AA%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84-laravel-project,Web Development,تطوير الويب
215,تصميم الواجهات في مشروع laravel,2025-05-12,175.0,7.0,11,https://mostaql.com/project/1067434-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-laravel,Web Development,تطوير الويب
216,تصميم موقع لخدمات تقنية,2025-05-12,750.0,7.0,13,https://mostaql.com/project/1088680-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D8%AA%D9%82%D9%86%D9%8A%D8%A9,Web Development,تطوير الويب
217,مطور تطبيق رياضي شامل متعدد المنصات مدفوع,2025-05-12,750.0,60.0,4,https://mostaql.com/project/1066739-%D9%85%D8%B7%D9%88%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A-%D8%B4%D8%A7%D9%85%D9%84-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%85%D9%86%D8%B5%D8%A7%D8%AA-%D9%85%D8%AF%D9%81%D9%88%D8%B9,Mobile Development,تطوير الهاتف المحمول
218,تعريب وتعديل قالب ووردبريس احترافي ليتوافق مع اللغة العربية – تنفيذ عاجل,2025-05-12,175.0,7.0,9,https://mostaql.com/project/1088892-%D8%AA%D8%B9%D8%B1%D9%8A%D8%A8-%D9%88%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%82%D8%A7%D9%84%D8%A8-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%84%D9%8A%D8%AA%D9%88%D8%A7%D9%81%D9%82-%D9%85%D8%B9-%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%B9%D8%A7%D8%AC%D9%84,Web Development,تطوير الويب
219,مطلوب مبرمج لتطبيق يشابه تطبيق (طلبات) لطلب الطعام وأي شيء اخر,2025-05-12,750.0,50.0,17,https://mostaql.com/project/1088785-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%8A%D8%B4%D8%A7%D8%A8%D9%87-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B7%D9%84%D8%A8%D8%A7%D8%AA-%D9%84%D8%B7%D9%84%D8%A8-%D8%A7%D9%84%D8%B7%D8%B9%D8%A7%D9%85-%D9%88%D8%A3%D9%8A-%D8%B4%D9%8A%D8%A1-%D8%A7%D8%AE%D8%B1,Web Development,تطوير الويب
220,رفع تطبيق إلى حساب جوجل بلاي قديم وأبل استور,2025-05-12,75.0,10.0,5,https://mostaql.com/project/1088712-%D8%B1%D9%81%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A5%D9%84%D9%89-%D8%AD%D8%B3%D8%A7%D8%A8-%D8%AC%D9%88%D8%AC%D9%84-%D8%A8%D9%84%D8%A7%D9%8A-%D9%82%D8%AF%D9%8A%D9%85-%D9%88%D8%A3%D8%A8%D9%84-%D8%A7%D8%B3%D8%AA%D9%88%D8%B1,Web Development,تطوير الويب
221,تطوير مساعد ذكاء اصطناعي لمنصة تطوير لا برمجية No-Code/Low-Code Platform,2025-05-12,3750.0,45.0,8,https://mostaql.com/project/1087409-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%84%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%84%D8%A7-%D8%A8%D8%B1%D9%85%D8%AC%D9%8A%D8%A9-no-codelow-code-platform,Artificial Intelligence,الذكاء الاصطناعي
222,ربط الفواتير الإلكترونية API مع هيئة الزكاة والدخل,2025-05-12,75.0,10.0,15,https://mostaql.com/project/1088519-%D8%B1%D8%A8%D8%B7-%D8%A7%D9%84%D9%81%D9%88%D8%A7%D8%AA%D9%8A%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-api-%D9%85%D8%B9-%D9%87%D9%8A%D8%A6%D8%A9-%D8%A7%D9%84%D8%B2%D9%83%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D8%AE%D9%84,Artificial Intelligence,الذكاء الاصطناعي
223,تطوير موقع لارافيل,2025-05-12,75.0,5.0,8,https://mostaql.com/project/1067224-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84,Web Development,تطوير الويب
224,رفع تطبيق على IOS,2025-05-12,37.5,10.0,37,https://mostaql.com/project/1088971-%D8%B1%D9%81%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B9%D9%84%D9%89-ios,Web Development,تطوير الويب
225,موقع إلكتروني للشركة,2025-05-12,75.0,7.0,26,https://mostaql.com/project/1088576-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%84%D8%B4%D8%B1%D9%83%D8%A9,Web Development,تطوير الويب
226,برمجة اضافة او تطبيق لمنصة Shopify,2025-05-12,175.0,3.0,25,https://mostaql.com/project/1088465-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A7%D8%B6%D8%A7%D9%81%D8%A9-%D8%A7%D9%88-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%84%D9%85%D9%86%D8%B5%D8%A9-shopify,Web Development,تطوير الويب
227,تنفيذ كود بايثون ( لعمل باك تيست DCA ),2025-05-12,37.5,5.0,6,https://mostaql.com/project/1088518-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%83%D9%88%D8%AF-%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86-%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%83-%D8%AA%D9%8A%D8%B3%D8%AA-dca,Artificial Intelligence,الذكاء الاصطناعي
228,رفع تطبيق apk على جوجل بلاي,2025-05-12,75.0,1.0,6,https://mostaql.com/project/1088599-%D8%B1%D9%81%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-apk-%D8%B9%D9%84%D9%89-%D8%AC%D9%88%D8%AC%D9%84-%D8%A8%D9%84%D8%A7%D9%8A,Mobile Development,تطوير الهاتف المحمول
229,أداة لتوليد الترافك,2025-05-12,750.0,15.0,5,https://mostaql.com/project/1087446-%D8%A3%D8%AF%D8%A7%D8%A9-%D9%84%D8%AA%D9%88%D9%84%D9%8A%D8%AF-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D9%81%D9%83,Mobile Development,تطوير الهاتف المحمول
230,تعديل برنامج بطاقة,2025-05-12,37.5,5.0,15,https://mostaql.com/project/1088568-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A8%D8%B7%D8%A7%D9%82%D8%A9,Artificial Intelligence,الذكاء الاصطناعي
231,فرونت إند كتطبيقات مصمم واجهات,2025-05-12,175.0,10.0,7,https://mostaql.com/project/1088662-%D9%81%D8%B1%D9%88%D9%86%D8%AA-%D8%A5%D9%86%D8%AF-%D9%83%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA,Web Development,تطوير الويب
232,نظام متابعة مشاريع مع لوحة بيانات تفاعلية,2025-05-12,75.0,3.0,18,https://mostaql.com/project/1086748-%D9%86%D8%B8%D8%A7%D9%85-%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D9%85%D8%B9-%D9%84%D9%88%D8%AD%D8%A9-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A%D8%A9,Data Analysis,تحليل البيانات
233,تنفيذ تكامل مباشر بين Odoo ERP ومنصات Noon وTrendyol باستخدام API,2025-05-12,375.0,30.0,9,https://mostaql.com/project/1086358-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D8%A8%D9%8A%D9%86-odoo-erp-%D9%88%D9%85%D9%86%D8%B5%D8%A7%D8%AA-noon-%D9%88trendyol-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-api,Artificial Intelligence,الذكاء الاصطناعي
234,تهيئة برنامج دفترة المحاسبي لشركة تأجير دبابات بحرية,2025-05-12,375.0,7.0,52,https://mostaql.com/project/1088549-%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%AF%D9%81%D8%AA%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D8%A3%D8%AC%D9%8A%D8%B1-%D8%AF%D8%A8%D8%A7%D8%A8%D8%A7%D8%AA-%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9,Networking,الشبكات
235,تعديل تصميم ويب سايت,2025-05-12,175.0,15.0,2,https://mostaql.com/project/1070233-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D9%8A%D8%A8-%D8%B3%D8%A7%D9%8A%D8%AA,Web Development,تطوير الويب
236,إعادة نشر تطبيقي على Google Play,2025-05-12,37.5,20.0,8,https://mostaql.com/project/1088457-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D9%86%D8%B4%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D9%8A-%D8%B9%D9%84%D9%89-google-play,Mobile Development,تطوير الهاتف المحمول
237,تنفيذ وإعداد موديولات Odoo المختلفة,2025-05-12,375.0,30.0,8,https://mostaql.com/project/1088491-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%88%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF-%D9%85%D9%88%D8%AF%D9%8A%D9%88%D9%84%D8%A7%D8%AA-odoo-%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D9%84%D9%81%D8%A9,Data Analysis,تحليل البيانات
238,تصميم متجر في شوبيفاي,2025-05-12,175.0,3.0,10,https://mostaql.com/project/1088478-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D9%81%D9%8A-%D8%B4%D9%88%D8%A8%D9%8A%D9%81%D8%A7%D9%8A,Web Development,تطوير الويب
239,متجر إلكتروني لبيع العسل,2025-05-12,75.0,5.0,4,https://mostaql.com/project/1088477-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B3%D9%84,Mobile Development,تطوير الهاتف المحمول
240,مطوّر لتطوير التطبيقَين (للنظامين Android و iOS) لتطبيق حراسة وسكان,2025-05-12,750.0,14.0,5,https://mostaql.com/project/1088533-%D9%85%D8%B7%D9%88%D8%B1-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%A7%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D9%8A%D9%86-%D9%84%D9%84%D9%86%D8%B8%D8%A7%D9%85%D9%8A%D9%86-android-%D9%88-ios-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AD%D8%B1%D8%A7%D8%B3%D8%A9-%D9%88%D8%B3%D9%83%D8%A7%D9%86,Mobile Development,تطوير الهاتف المحمول
241,خبير لنشر تطبيق FlutterFlow على App Store و Play Store,2025-05-12,75.0,2.0,7,https://mostaql.com/project/1088608-%D8%AE%D8%A8%D9%8A%D8%B1-%D9%84%D9%86%D8%B4%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-flutterflow-%D8%B9%D9%84%D9%89-app-store-%D9%88-play-store,Mobile Development,تطوير الهاتف المحمول
242,تنفيذ منصة تجارة إلكترونية متخصصة,2025-05-12,3750.0,5.0,3,https://mostaql.com/project/1088641-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5%D8%A9,Web Development,تطوير الويب
243,إعداد برنامج للأراضي,2025-05-12,375.0,5.0,8,https://mostaql.com/project/1088561-%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%84%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A,Web Development,تطوير الويب
244,تصميم قالب لموقع إلكتروني,2025-05-12,175.0,3.0,7,https://mostaql.com/project/1088295-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%82%D8%A7%D9%84%D8%A8-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
245,إنشاء موقع إلكتروني متخصص في إدارة وبيع وتأجير العقارات بمختلف أنواعها,2025-05-12,750.0,90.0,1,https://mostaql.com/project/1088654-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%88%D8%A8%D9%8A%D8%B9-%D9%88%D8%AA%D8%A3%D8%AC%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A8%D9%85%D8%AE%D8%AA%D9%84%D9%81-%D8%A3%D9%86%D9%88%D8%A7%D8%B9%D9%87%D8%A7,Web Development,تطوير الويب
246,رفع مشروع على السيرفر,2025-05-12,37.5,2.0,5,https://mostaql.com/project/1088604-%D8%B1%D9%81%D8%B9-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D9%8A%D8%B1%D9%81%D8%B1,Web Development,تطوير الويب
247,تطوير موقع إلكتروني تعليمي لربط الطلاب بالمدرسين في الخليج (مشابه لـ TeacherOn),2025-05-12,375.0,10.0,7,https://mostaql.com/project/1088532-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D9%84%D8%B1%D8%A8%D8%B7-%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8-%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D9%85%D8%B4%D8%A7%D8%A8%D9%87-%D9%84%D9%80-teacheron,Web Development,تطوير الويب
248,تحسين أداء متجر أوبن كارت,2025-05-12,175.0,7.0,11,https://mostaql.com/project/1088514-%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D8%A3%D8%AF%D8%A7%D8%A1-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A3%D9%88%D8%A8%D9%86-%D9%83%D8%A7%D8%B1%D8%AA,Web Development,تطوير الويب
249,نبحث عن مبرمج للعمل على تطوير وتكامل منصة تعليمية (LMS),2025-05-12,375.0,45.0,16,https://mostaql.com/project/1088461-%D9%86%D8%A8%D8%AD%D8%AB-%D8%B9%D9%86-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%88%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-lms,Educational Technology,التكنولوجيا التعليمية
250,تجهيز إعدادات واتمتمة نظام hubspot,2025-05-12,175.0,5.0,3,https://mostaql.com/project/1088317-%D8%AA%D8%AC%D9%87%D9%8A%D8%B2-%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF%D8%A7%D8%AA-%D9%88%D8%A7%D8%AA%D9%85%D8%AA%D9%85%D8%A9-%D9%86%D8%B8%D8%A7%D9%85-hubspot,Other,آخر
251,مبرمج تطبيقات للتعديل على سورس كود,2025-05-12,75.0,7.0,7,https://mostaql.com/project/1088383-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D9%84%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF,Web Development,تطوير الويب
252,مراجعة الكود الخاص بمنصة Swiftvisa,2025-05-12,75.0,7.0,9,https://mostaql.com/project/1088278-%D9%85%D8%B1%D8%A7%D8%AC%D8%B9%D8%A9-%D8%A7%D9%84%D9%83%D9%88%D8%AF-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5-%D8%A8%D9%85%D9%86%D8%B5%D8%A9-swiftvisa,Web Development,تطوير الويب
253,بناء تطبيق يحتوي على عدة شاشات ووظائف للمستخدمين بالإضافة إلى إدارة كاملة للحسابات,2025-05-12,175.0,20.0,1,https://mostaql.com/project/1088212-%D8%A8%D9%86%D8%A7%D8%A1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%8A%D8%AD%D8%AA%D9%88%D9%8A-%D8%B9%D9%84%D9%89-%D8%B9%D8%AF%D8%A9-%D8%B4%D8%A7%D8%B4%D8%A7%D8%AA-%D9%88%D9%88%D8%B8%D8%A7%D8%A6%D9%81-%D9%84%D9%84%D9%85%D8%B3%D8%AA%D8%AE%D8%AF%D9%85%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A5%D9%84%D9%89-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%84%D9%84%D8%AD%D8%B3%D8%A7%D8%A8%D8%A7%D8%AA,Web Development,تطوير الويب
254,استشارة بخصوص شروط جوجل بلاي للتطبيقات,2025-05-12,37.5,15.0,25,https://mostaql.com/project/1088227-%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A9-%D8%A8%D8%AE%D8%B5%D9%88%D8%B5-%D8%B4%D8%B1%D9%88%D8%B7-%D8%AC%D9%88%D8%AC%D9%84-%D8%A8%D9%84%D8%A7%D9%8A-%D9%84%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA,Web Development,تطوير الويب
255,تفعيل تابي وتمارا في متجرين على منصة سلة,2025-05-12,37.5,1.0,2,https://mostaql.com/project/1088216-%D8%AA%D9%81%D8%B9%D9%8A%D9%84-%D8%AA%D8%A7%D8%A8%D9%8A-%D9%88%D8%AA%D9%85%D8%A7%D8%B1%D8%A7-%D9%81%D9%8A-%D9%85%D8%AA%D8%AC%D8%B1%D9%8A%D9%86-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B5%D8%A9-%D8%B3%D9%84%D8%A9,Web Development,تطوير الويب
256,تطوير تطبيق جوال (أندرويد و ios و هواوي) شبيه بتطبيق “حراج,2025-05-12,1750.0,30.0,16,https://mostaql.com/project/1088109-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AC%D9%88%D8%A7%D9%84-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D9%88-ios-%D9%88-%D9%87%D9%88%D8%A7%D9%88%D9%8A-%D8%B4%D8%A8%D9%8A%D9%87-%D8%A8%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AD%D8%B1%D8%A7%D8%AC,Mobile Development,تطوير الهاتف المحمول
