ID,Title,Link,client name,Type,Budget,Category,Date Posted
1199,E-Learning App — Audio Lessons for Students Interactive Audio Lessons with Quiz Cues,https://www.freelanceyard.com/en/jobs/e-learning-app-audio-lessons-for-students-interactive-audio-lessons-with-quiz-cues,Volt ,Startup,5.0,IT & Tech,2025-04-20
1200,E-Learning App — Audio Lessons for Students Lesson Audio Player with Waveform Animation,https://www.freelanceyard.com/en/jobs/e-learning-app-audio-lessons-for-students-lesson-audio-player-with-waveform-animation,Volt ,Startup,4.8,IT & Tech,2025-04-20
1201,E-Learning App — Audio Lessons for Students Lesson Card with Playable Audio Icon,https://www.freelanceyard.com/en/jobs/e-learning-app-audio-lessons-for-students-lesson-card-with-playable-audio-icon,Volt ,Startup,3.2,IT & Tech,2025-04-20
1202,AI Voice Assistant for Product Search Real-Time AI Voice Search & Product Recommendations,https://www.freelanceyard.com/en/jobs/ai-voice-assistant-for-product-search-real-time-ai-voice-search-product-recommendations,Volt ,Startup,5.0,IT & Tech,2025-04-20
1203,Shopping App — AI Voice Assistant for Product Search Voice Playback with Animated Waveform,https://www.freelanceyard.com/en/jobs/shopping-app-ai-voice-assistant-for-product-search-voice-playback-with-animated-waveform,Volt ,Startup,4.8,IT & Tech,2025-04-20
1204,Shopping App — AI Voice Assistant for Product Search Product Card with Voice Assistant Icon,https://www.freelanceyard.com/en/jobs/shopping-app-ai-voice-assistant-for-product-search-product-card-with-voice-assistant-icon,Volt ,Startup,3.2,IT & Tech,2025-04-20
1205,Health App — Voice-Based Symptom Checker Add Playable Voice Prompt and Visual Feedback,https://www.freelanceyard.com/en/jobs/health-app-voice-based-symptom-checker-add-playable-voice-prompt-and-visual-feedback,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1206,Health App — Voice-Based Symptom Checker Symptom Entry Card with Audio Prompt,https://www.freelanceyard.com/en/jobs/health-app-voice-based-symptom-checker-symptom-entry-card-with-audio-prompt,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1207,عمل شاشة ال cards,https://www.freelanceyard.com/en/jobs/aaml-shash-al-cards,Null ,Individual,4.8,IT & Tech,2025-04-19
1208,تنفيذ شاشة اضافة flash card,https://www.freelanceyard.com/en/jobs/tnfyth-shash-adaf-flash-card,Null ,Individual,3.2,IT & Tech,2025-04-19
1209,Productivity App — Audio Task Reminders Voice Playback for Task Reminders,https://www.freelanceyard.com/en/jobs/productivity-app-audio-task-reminders-voice-playback-for-task-reminders,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1210,Productivity App — Audio Task Reminders Task Card with Voice Reminder Icon,https://www.freelanceyard.com/en/jobs/productivity-app-audio-task-reminders-task-card-with-voice-reminder-icon,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1211,Social App — Audio Status Updates Interactive Voice Status with Auto-Stop and Story Style Playback,https://www.freelanceyard.com/en/jobs/social-app-audio-status-updates-interactive-voice-status-with-auto-stop-and-story-style-playback,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1212,Social App — Audio Status Updates Add Mini Audio Player with Playback Control,https://www.freelanceyard.com/en/jobs/social-app-audio-status-updates-add-mini-audio-player-with-playback-control,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1213,Social App — Audio Status Updates Audio Status Preview in User Profile,https://www.freelanceyard.com/en/jobs/social-app-audio-status-updates-audio-status-preview-in-user-profile,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1214,Health App — Voice-Based Symptom Checker Voice Playback + Animated Progress and Accessibility,https://www.freelanceyard.com/en/jobs/health-app-voice-based-symptom-checker-voice-playback-animated-progress-and-accessibility,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1215,Education App — Audio Lessons Lesson Card with Audio Indicator,https://www.freelanceyard.com/en/jobs/education-app-audio-lessons-lesson-card-with-audio-indicator,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1216,Fitness App — Voice-Powered Exercise Guidance Smart Session Playback with Rep Highlighting,https://www.freelanceyard.com/en/jobs/fitness-app-voice-powered-exercise-guidance-smart-session-playback-with-rep-highlighting,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1217,Fitness App — Voice-Powered Exercise Guidance Add Voice Playback with Waveform,https://www.freelanceyard.com/en/jobs/fitness-app-voice-powered-exercise-guidance-add-voice-playback-with-waveform,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1218,Fitness App — Voice-Powered Exercise Guidance Exercise Card with Audio Indicator,https://www.freelanceyard.com/en/jobs/fitness-app-voice-powered-exercise-guidance-exercise-card-with-audio-indicator,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1219,إيجاد تصميم لتطبيق flash cards,https://www.freelanceyard.com/en/jobs/aygad-tsmym-lttbyk-flash-cards,Null ,Individual,5.0,IT & Tech,2025-04-19
1220,Finance App — Audio Insights & Reports Advanced Financial Audio Playback with Highlights,https://www.freelanceyard.com/en/jobs/finance-app-audio-insights-reports-advanced-financial-audio-playback-with-highlights,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1221,Finance App — Audio Insights & Reports Add Audio Snippet Playback in Reports,https://www.freelanceyard.com/en/jobs/finance-app-audio-insights-reports-add-audio-snippet-playback-in-reports,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1222,Finance App — Audio Insights & Reports Report Summary with Audio Tag,https://www.freelanceyard.com/en/jobs/finance-app-audio-insights-reports-report-summary-with-audio-tag,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1223,Education App — Audio Lessons Rich Interactive Lesson Playback,https://www.freelanceyard.com/en/jobs/education-app-audio-lessons-rich-interactive-lesson-playback,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1224,Education App — Audio Lessons Voice Lesson Playback Integration,https://www.freelanceyard.com/en/jobs/education-app-audio-lessons-voice-lesson-playback-integration,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1225,Fitness App with Workout Audio Guidance Audio-Driven Workout Step Flow,https://www.freelanceyard.com/en/jobs/fitness-app-with-workout-audio-guidance-audio-driven-workout-step-flow,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1226,Fitness App with Workout Audio Guidance Embedded Audio Player for Workout Guidance,https://www.freelanceyard.com/en/jobs/fitness-app-with-workout-audio-guidance-embedded-audio-player-for-workout-guidance,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1227,Fitness App with Workout Audio Guidance Workout Step Card with Audio Icon,https://www.freelanceyard.com/en/jobs/fitness-app-with-workout-audio-guidance-workout-step-card-with-audio-icon,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1228,Meditation App Audio Experience Synced Audio Playback with Smooth Transitions,https://www.freelanceyard.com/en/jobs/meditation-app-audio-experience-synced-audio-playback-with-smooth-transitions,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1229,Destination Voice Tours Immersive Audio Tour Experience,https://www.freelanceyard.com/en/jobs/destination-voice-tours-immersive-audio-tour-experience,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1230,Destination Voice Tours Audio Tour Preview Section,https://www.freelanceyard.com/en/jobs/destination-voice-tours-audio-tour-preview-section,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1231,Travel App — Destination Voice Tours Destination Card with Voice Tour Icon,https://www.freelanceyard.com/en/jobs/travel-app-destination-voice-tours-destination-card-with-voice-tour-icon,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1232,Language Learning App with Audio Pronunciation Full Interaction with Syllable Sync and Progress,https://www.freelanceyard.com/en/jobs/language-learning-app-with-audio-pronunciation-full-interaction-with-syllable-sync-and-progress,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1233,Language Learning App with Audio Pronunciation Pronunciation Audio Player with Highlighting,https://www.freelanceyard.com/en/jobs/language-learning-app-with-audio-pronunciation-pronunciation-audio-player-with-highlighting,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1234,Language Learning App with Audio Pronunciation Flashcard with Word and Sound Icon,https://www.freelanceyard.com/en/jobs/language-learning-app-with-audio-pronunciation-flashcard-with-word-and-sound-icon,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1235,E-commerce Product Preview with Voice Descriptions Embedded Audio Player in Product Cards,https://www.freelanceyard.com/en/jobs/e-commerce-product-preview-with-voice-descriptions-embedded-audio-player-in-product-cards,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1236,E-commerce Product Preview with Voice Descriptions Product Card with Voice Indicator,https://www.freelanceyard.com/en/jobs/e-commerce-product-preview-with-voice-descriptions-product-card-with-voice-indicator,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1237,Smart To-Do App with Voice Notes Fully Functional Audio Playback with Task Interactions,https://www.freelanceyard.com/en/jobs/smart-to-do-app-with-voice-notes-fully-functional-audio-playback-with-task-interactions,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1238,Smart To-Do App with Voice Notes Voice Note Preview for Tasks,https://www.freelanceyard.com/en/jobs/smart-to-do-app-with-voice-notes-voice-note-preview-for-tasks,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1239,Meditation App Audio Experience Add Basic Audio Controls and Progress Bar,https://www.freelanceyard.com/en/jobs/meditation-app-audio-experience-add-basic-audio-controls-and-progress-bar,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1240,Meditation App Audio Experience Meditation Track Card Layout,https://www.freelanceyard.com/en/jobs/meditation-app-audio-experience-meditation-track-card-layout,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1241,AI Character Voice Gallery Enhanced Voice UI with Playback Sync and Accessibility,https://www.freelanceyard.com/en/jobs/ai-character-voice-gallery-enhanced-voice-ui-with-playback-sync-and-accessibility,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1242,AI Character Voice Gallery Voice Bubble Integration Under Characters,https://www.freelanceyard.com/en/jobs/ai-character-voice-gallery-voice-bubble-integration-under-characters,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1243,AI Character Voice Gallery Character Card with Voice Badge,https://www.freelanceyard.com/en/jobs/ai-character-voice-gallery-character-card-with-voice-badge,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1244,E-commerce Product Preview with Voice Descriptions Voice Sync Controls,https://www.freelanceyard.com/en/jobs/e-commerce-product-preview-with-voice-descriptions-voice-sync-controls,UXera ,Startup,3.2,IT & Tech,2025-04-19
1245,Search Results Page – for an online course platform,https://www.freelanceyard.com/en/jobs/search-results-page-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1246,Contact Us Page – for an online course platform,https://www.freelanceyard.com/en/jobs/contact-us-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1247,Discount and Coupon System for an Online Course Platform,https://www.freelanceyard.com/en/jobs/discount-and-coupon-system-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1248,User Activity Feed for an Online Course Platform,https://www.freelanceyard.com/en/jobs/user-activity-feed-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1249,Smart To-Do App with Voice Notes To-Do Item with Voice Note Indicator,https://www.freelanceyard.com/en/jobs/smart-to-do-app-with-voice-notes-to-do-item-with-voice-note-indicator,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1250,AI Chatbot Voice Interaction Advanced Playback with Waveform Sync & Accessibility,https://www.freelanceyard.com/en/jobs/ai-chatbot-voice-interaction-advanced-playback-with-waveform-sync-accessibility,Family Design ,Startup,5.0,IT & Tech,2025-04-19
1251,AI Chatbot Voice Interaction Interactive Voice Playback Bubble,https://www.freelanceyard.com/en/jobs/ai-chatbot-voice-interaction-interactive-voice-playback-bubble,Family Design ,Startup,4.8,IT & Tech,2025-04-19
1252,AI Chatbot Voice Interaction Static Voice Message Bubble Design,https://www.freelanceyard.com/en/jobs/ai-chatbot-voice-interaction-static-voice-message-bubble-design,Family Design ,Startup,3.2,IT & Tech,2025-04-19
1253,Become an Instructor Page – for an online course platform,https://www.freelanceyard.com/en/jobs/become-an-instructor-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1254,Personalized Recommendations for an Online Course Platform,https://www.freelanceyard.com/en/jobs/personalized-recommendations-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1255,Course Certificate and Download for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-certificate-and-download-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1256,Course Discussion Forum for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-discussion-forum-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1257,Course Progress Tracker for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-progress-tracker-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1258,Course Enrollment Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-enrollment-page-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1259,Multi-Language Support for an Online Course Platform,https://www.freelanceyard.com/en/jobs/multi-language-support-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1260,Event/Live Session Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/eventlive-session-page-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1261,User Dashboard for an Online Course Platform,https://www.freelanceyard.com/en/jobs/user-dashboard-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1262,Wishlist for an Online Course Platform,https://www.freelanceyard.com/en/jobs/wishlist-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1263,Instructor Profile Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/instructor-profile-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1264,Design the 'Weekly AI Reflection Summary' screen.,https://www.freelanceyard.com/en/jobs/design-the-weekly-ai-reflection-summary-screen,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1265,Design the 'Theme Color Picker' screen.,https://www.freelanceyard.com/en/jobs/design-the-theme-color-picker-screen,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1266,Password Reset Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/password-reset-page-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1267,Design the 'Creative Collaboration Board'.,https://www.freelanceyard.com/en/jobs/design-the-creative-collaboration-board,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1268,Special Offers or Discounts Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/special-offers-or-discounts-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1269,Checkout/Payment Page: Add Multiple Payment Options for an Online Course Platform,https://www.freelanceyard.com/en/jobs/checkoutpayment-page-add-multiple-payment-options-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1270,Course Comparison Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-comparison-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1271,Certificates and Achievements Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/certificates-and-achievements-page-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1272,Profile Page: User Information for an Online Course Platform,https://www.freelanceyard.com/en/jobs/profile-page-user-information-for-an-online-course-platform-1,UXera ,Startup,4.8,IT & Tech,2025-04-19
1273,Design the 'User Memory Consent Manager'.,https://www.freelanceyard.com/en/jobs/design-the-user-memory-consent-manager,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1274,Design the 'Augmented Reality (AR) Character Mode' onboarding.,https://www.freelanceyard.com/en/jobs/design-the-augmented-reality-ar-character-mode-onboarding,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1275,FAQ Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/faq-page-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1276,Animation for Confirmation Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-confirmation-page-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1277,Design the 'Set Daily Chat Goal' screen.,https://www.freelanceyard.com/en/jobs/design-the-set-daily-chat-goal-screen,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1278,Sign Up Page: Create New Account for an Online Course Platform,https://www.freelanceyard.com/en/jobs/sign-up-page-create-new-account-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1279,Login Page: User Login Screen for an Online Course Platform,https://www.freelanceyard.com/en/jobs/login-page-user-login-screen-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1280,Design the 'Smart Prompt Suggestions' popup.,https://www.freelanceyard.com/en/jobs/design-the-smart-prompt-suggestions-popup,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1281,Reviews and Ratings Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/reviews-and-ratings-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1282,Design the 'Character Feedback' modal.,https://www.freelanceyard.com/en/jobs/design-the-character-feedback-modal,UXera ,Startup,5.0,IT & Tech,2025-04-19
1283,Animation for Checkout Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-checkout-page-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1284,Checkout Page: Payment Options for an Online Course Platform,https://www.freelanceyard.com/en/jobs/checkout-page-payment-options-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1285,Design the 'AI Character Training' interactive UI.,https://www.freelanceyard.com/en/jobs/design-the-ai-character-training-interactive-ui,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1286,Profile Page: Purchased Courses Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/profile-page-purchased-courses-section-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1287,Design the 'Empty State' for the chat screen.,https://www.freelanceyard.com/en/jobs/design-the-empty-state-for-the-chat-screen,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1288,Confirmation Page (After Purchase) for an Online Course Platform,https://www.freelanceyard.com/en/jobs/confirmation-page-after-purchase-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1289,Cart Page (For Buying Courses) for an Online Course Platform,https://www.freelanceyard.com/en/jobs/cart-page-for-buying-courses-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1290,Design the 'Favorite Characters' list screen.,https://www.freelanceyard.com/en/jobs/design-the-favorite-characters-list-screen,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1291,Design the 'Conversation Replay' viewer.,https://www.freelanceyard.com/en/jobs/design-the-conversation-replay-viewer,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1292,About Us Page for an Online Course Platform,https://www.freelanceyard.com/en/jobs/about-us-page-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1293,Checkout Page: Payment Options for an Online Course Platform,https://www.freelanceyard.com/en/jobs/checkout-page-payment-options-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1294,Course Listing Page: Filter Sidebar for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-listing-page-filter-sidebar-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1295,Design the 'Character Soundscape Backgrounds' selector.,https://www.freelanceyard.com/en/jobs/design-the-character-soundscape-backgrounds-selector,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1296,Footer Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/footer-section-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1297,Profile Page: Notifications Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/profile-page-notifications-section-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1298,Profile Page: User Information for an Online Course Platform,https://www.freelanceyard.com/en/jobs/profile-page-user-information-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1299,Course Details Page: Curriculum Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-details-page-curriculum-section-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1300,Animation for Overview Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-overview-section-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1301,Course Details Page: Overview Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-details-page-overview-section-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1302,Animation for Course Cards for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-course-cards-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1303,Course Listing Page: Course Cards for an Online Course Platform,https://www.freelanceyard.com/en/jobs/course-listing-page-course-cards-for-an-online-course-platform,UXera ,Startup,5.0,IT & Tech,2025-04-19
1304,Header Section – Homepage for an educational website,https://www.freelanceyard.com/en/jobs/header-section-homepage-for-an-educational-website,UXera ,Startup,3.2,IT & Tech,2025-04-19
1305,Animation – Hero Section for an educational website,https://www.freelanceyard.com/en/jobs/animation-hero-section-for-an-educational-website,UXera ,Startup,5.0,IT & Tech,2025-04-19
1306,Hero Section – Homepage for an educational website,https://www.freelanceyard.com/en/jobs/hero-section-homepage-for-an-educational-website,UXera ,Startup,4.8,IT & Tech,2025-04-19
1307,Animation for Testimonials Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-testimonials-section-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1308,Design the 'Real-Time Translation Chat' toggle screen.,https://www.freelanceyard.com/en/jobs/design-the-real-time-translation-chat-toggle-screen,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1309,Testimonials Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/testimonials-section-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1310,Design the 'End of Chat Summary' popup.,https://www.freelanceyard.com/en/jobs/design-the-end-of-chat-summary-popup,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1311,Featured Courses Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/featured-courses-section-for-an-online-course-platform,UXera ,Startup,4.8,IT & Tech,2025-04-19
1312,Animation for Categories Section for an Online Course Platform,https://www.freelanceyard.com/en/jobs/animation-for-categories-section-for-an-online-course-platform,UXera ,Startup,3.2,IT & Tech,2025-04-19
1313,Design the 'Daily Check-In Flow'.,https://www.freelanceyard.com/en/jobs/design-the-daily-check-in-flow,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1314,Maintenance Mode Screen for a food app,https://www.freelanceyard.com/en/jobs/maintenance-mode-screen-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1315,Delete Account Confirmation for a food app,https://www.freelanceyard.com/en/jobs/delete-account-confirmation-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1316,Design the 'Saved Replies' feature interface.,https://www.freelanceyard.com/en/jobs/design-the-saved-replies-feature-interface,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1317,Design the 'Conversation Loop Detector',https://www.freelanceyard.com/en/jobs/design-the-conversation-loop-detector,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1318,Design the 'Auto Mood Detection Feedback' interface.,https://www.freelanceyard.com/en/jobs/design-the-auto-mood-detection-feedback-interface,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1319,Design the 'Typing Indicator' animation.,https://www.freelanceyard.com/en/jobs/design-the-typing-indicator-animation,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1320,Design the 'Visual Mood Avatar Builder'.,https://www.freelanceyard.com/en/jobs/design-the-visual-mood-avatar-builder,Badr Design ,Startup,5.0,IT & Tech,2025-04-19
1321,Design the 'Interaction Frequency Settings' screen.,https://www.freelanceyard.com/en/jobs/design-the-interaction-frequency-settings-screen-1,Badr Design ,Startup,4.8,IT & Tech,2025-04-19
1322,Design the 'Daily Quote Popup'.,https://www.freelanceyard.com/en/jobs/design-the-daily-quote-popup,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1323,Live Order Tracking Screen for a food app,https://www.freelanceyard.com/en/jobs/live-order-tracking-screen-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1324,Restaurant Rating Modal for a food app,https://www.freelanceyard.com/en/jobs/restaurant-rating-modal-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1325,Invite Friend Animation for a food app,https://www.freelanceyard.com/en/jobs/invite-friend-animation-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1326,Loyalty Points Screen for a food app,https://www.freelanceyard.com/en/jobs/loyalty-points-screen-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1327,App Settings Screen for a food app,https://www.freelanceyard.com/en/jobs/app-settings-screen-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1328,Design the 'Edit Profile' screen for users.,https://www.freelanceyard.com/en/jobs/design-the-edit-profile-screen-for-users,Badr Design ,Startup,3.2,IT & Tech,2025-04-19
1329,In-App Chat with Support for a food app,https://www.freelanceyard.com/en/jobs/in-app-chat-with-support-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1330,Payment Success Animation for a food app,https://www.freelanceyard.com/en/jobs/payment-success-animation-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1331,Add Payment Method Screen for a food app,https://www.freelanceyard.com/en/jobs/add-payment-method-screen-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1332,Track Order Animation for a food app,https://www.freelanceyard.com/en/jobs/track-order-animation-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1333,Order Success Screen – Order Confirmation for a food app,https://www.freelanceyard.com/en/jobs/order-success-screen-order-confirmation-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1334,Menu Category Navigation – Restaurant Page for a food app,https://www.freelanceyard.com/en/jobs/menu-category-navigation-restaurant-page-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1335,Featured Dishes Section – Restaurant Page for a food app,https://www.freelanceyard.com/en/jobs/featured-dishes-section-restaurant-page-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1336,Filter Section – Home Page for a food app,https://www.freelanceyard.com/en/jobs/filter-section-home-page-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1337,Referral Program Screen for a food app,https://www.freelanceyard.com/en/jobs/referral-program-screen-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1338,Order History Card – My Orders Page for a food app,https://www.freelanceyard.com/en/jobs/order-history-card-my-orders-page-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
1339,User Profile Edit – Profile Page for a food app,https://www.freelanceyard.com/en/jobs/user-profile-edit-profile-page-for-a-food-app,UXera ,Startup,4.8,IT & Tech,2025-04-19
1340,Cart Item Modification – Cart Page for a food app,https://www.freelanceyard.com/en/jobs/cart-item-modification-cart-page-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1341,Empty Cart Page – Cart Page for a food app,https://www.freelanceyard.com/en/jobs/empty-cart-page-cart-page-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1342,Promo Banner Section – Home Page for a food app,https://www.freelanceyard.com/en/jobs/promo-banner-section-home-page-for-a-food-app,UXera ,Startup,3.2,IT & Tech,2025-04-19
1343,Home Screen – Bottom Navigation Bar for a food app,https://www.freelanceyard.com/en/jobs/home-screen-bottom-navigation-bar-for-a-food-app,UXera ,Startup,5.0,IT & Tech,2025-04-19
