ID,Title,Category_English,Posted,Avg offer,Duration,Number of Offers,Tags,Tags_en,Link
88,إضافة صور لموقعنا الإلكتروني على ويليت,Web Development,منذ يوم,$25.00 ,15 يوما,6,"تطوير البرمجيات, إدارة المواقع, برمجة, برمجة مواقع, بايثون, PHP, جافا سكريبت, HTML, CSS"," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1079446-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%B5%D9%88%D8%B1-%D9%84%D9%85%D9%88%D9%82%D8%B9%D9%86%D8%A7-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%B9%D9%84%D9%89-%D9%88%D9%8A%D9%84%D9%8A%D8%AA
89,برمجة نظام رد آلي صوتي لرقم سعودي باستخدام الذكاء الاصطناعي,Mobile Development,منذ يوم,$925.00 ,7 أيام,2,"تطوير الويب, البرمجة بطريقة MVC, تصحيح برمجي, برمجة قواعد البيانات, اختبار البرمجيات, بايثون, VoIP, الذكاء الاصطناعي, برمجة, برمجة مواقع, برمجة التطبيقات, هندسة البرمجيات, تطوير البرمجيات, flutter, فوتوشوب","devweb, programing بطريقة MVC, debugging, programing data base, testing  programes , python, VoIP, AI, programing, programing web, programing  apps ,programming engineer,  application development , flutter, photoshop",https://mostaql.com/project/1079408-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%86%D8%B8%D8%A7%D9%85-%D8%B1%D8%AF-%D8%A2%D9%84%D9%8A-%D8%B5%D9%88%D8%AA%D9%8A-%D9%84%D8%B1%D9%82%D9%85-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
90,فلاتر تطبيق فنادق,Mobile Development,منذ يوم,$460.00 ,10 أيام,21,"flutter, برمجة, برمجة مواقع, إنشاء موقع إلكتروني, تطوير الويب, تطوير البرمجيات, هندسة البرمجيات","flutter, programing, programing web, create web إلكتروني, devweb,  application development ,programming engineer",https://mostaql.com/project/1079317-%D9%81%D9%84%D8%A7%D8%AA%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%81%D9%86%D8%A7%D8%AF%D9%82
91,تطوير ذكاء اصطناعي chatbot مع تغذيته بداتا مخصصة,Software Engineering,منذ يوم,$200.00 ,60 يوما,17,"الذكاء الاصطناعي, برمجة, تطوير البرمجيات, هندسة البرمجيات, برمجة التطبيقات, تطوير التطبيقات, إنشاء تطبيق","AI, programing,  application development ,programming engineer, programing  apps , dev apps , create  application",https://mostaql.com/project/1079321-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-chatbot-%D9%85%D8%B9-%D8%AA%D8%BA%D8%B0%D9%8A%D8%AA%D9%87-%D8%A8%D8%AF%D8%A7%D8%AA%D8%A7-%D9%85%D8%AE%D8%B5%D8%B5%D8%A9
92,تعديل برنامج يخدم كبار السن ويساعدهم في العلاجات,Web Development,منذ يومين,$150.00 ,5 أيام,3,"برمجة التطبيقات, برمجة iOS, Swift, برمجة, برمجة قواعد البيانات, هندسة البرمجيات, تطوير البرمجيات","programing  apps , programing iOS, Swift, programing, programing data base,programming engineer,  application development ",https://mostaql.com/project/1079260-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%8A%D8%AE%D8%AF%D9%85-%D9%83%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B3%D9%86-%D9%88%D9%8A%D8%B3%D8%A7%D8%B9%D8%AF%D9%87%D9%85-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC%D8%A7%D8%AA
93,إعداد صفحة هبوط لموقع تعليمي,Web Development,منذ يوم,$30.00 ,10 أيام,64,"تصميم موقع إلكتروني, برمجة مواقع, برمجة, تصميم صفحات الهبوط, إنشاء صفحة هبوط, إنشاء موقع إلكتروني, تطوير الويب, إدارة المواقع","design web إلكتروني, programing web, programing, design drop pages, create drop pages, create web إلكتروني, devweb,  management web",https://mostaql.com/project/1079445-%D8%A5%D8%B9%D8%AF%D8%A7%D8%AF-%D8%B5%D9%81%D8%AD%D8%A9-%D9%87%D8%A8%D9%88%D8%B7-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A
94,تعديل على متجر php,Web Development,منذ يوم,$825.00 ,10 أيام,9,"برمجة, برمجة مواقع, إنشاء متجر إلكتروني, هندسة البرمجيات, تطوير البرمجيات, PHP, تطوير الويب, إنشاء موقع إلكتروني","programing, programing web, create  online market,programming engineer,  application development , PHP, devweb, create web إلكتروني",https://mostaql.com/project/1079285-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D9%85%D8%AA%D8%AC%D8%B1-php
95,عمل موقع دعوات,Web Development,منذ يوم,$150.00 ,10 أيام,8,"برمجة مواقع, إنشاء مدونة ووردبريس, إنشاء موقع ووردبريس, تصميم موقع إلكتروني, إنشاء موقع إلكتروني, تطوير الويب, برمجة","programing web, create مدونة wordpress, create web wordpress, design web إلكتروني, create web إلكتروني, devweb, programing",https://mostaql.com/project/1079414-%D8%B9%D9%85%D9%84-%D9%85%D9%88%D9%82%D8%B9-%D8%AF%D8%B9%D9%88%D8%A7%D8%AA
96,تطوير تطبيق دعوات أعراس رقمية (Android + iOS ),Web Development,منذ يوم,$200.00 ,10 أيام,9,"برمجة, برمجة التطبيقات, تطوير البرمجيات, هندسة البرمجيات, تطوير التطبيقات, إنشاء تطبيق, واجهة برمجة التطبيقات","programing, programing  apps ,  application development ,programming engineer, dev apps , create  application, واجهة programing  apps ",https://mostaql.com/project/1079437-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AF%D8%B9%D9%88%D8%A7%D8%AA-%D8%A3%D8%B9%D8%B1%D8%A7%D8%B3-%D8%B1%D9%82%D9%85%D9%8A%D8%A9-android-ios
97,تصميم موقع باللغتين إنجليزي وعربي,Web Development,منذ يومين,$80.00 ,5 أيام,23,"تصميم موقع إلكتروني, الفكرة التصميمية, HTML, CSS, جافا سكريبت, PHP, بوتستراب, MySQL, تطوير الويب, برمجة مواقع, إدارة المواقع, تطوير البرمجيات, ووردبريس","design web إلكتروني, الفكرة الdesignية, HTML, CSS, java script, PHP, bootstrap, MySQL, devweb, programing web,  management web,  application development , wordpress",https://mostaql.com/project/1079246-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D9%84%D9%84%D8%BA%D8%AA%D9%8A%D9%86-%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A-%D9%88%D8%B9%D8%B1%D8%A8%D9%8A
98,"تصميم تطبيق ""أجرني"" لتأجير ورهن المنازل (أندرويد فقط)",Web Development,منذ يوم,$240.00 ,7 أيام,12,"إنشاء تطبيق, برمجة التطبيقات, تصميم تطبيقات الهواتف الذكية, برمجة, تطوير التطبيقات, برمجة أندرويد, تطوير البرمجيات, هندسة البرمجيات","create  application, programing  apps , design  applicationات mobile, programing, dev apps , programing android ,  application development ,programming engineer",https://mostaql.com/project/1079369-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A3%D8%AC%D8%B1%D9%86%D9%8A-%D9%84%D8%AA%D8%A3%D8%AC%D9%8A%D8%B1-%D9%88%D8%B1%D9%87%D9%86-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B2%D9%84-%D8%A3%D9%86%D8%AF%D8%B1%D9%88%D9%8A%D8%AF-%D9%81%D9%82%D8%B7
99,ربط تطبيق API مع شركاء سلة,Web Development,منذ يومين,$500.00 ,22 يوما,4,"برمجة, واجهة برمجة التطبيقات, Restful API, node.js, MySQL, PHP, لارافيل, برمجة مواقع, سلة","programing, واجهة programing  apps , Restful API, node.js, MySQL, PHP, laravel, programing web, سلة",https://mostaql.com/project/1079259-%D8%B1%D8%A8%D8%B7-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-api-%D9%85%D8%B9-%D8%B4%D8%B1%D9%83%D8%A7%D8%A1-%D8%B3%D9%84%D8%A9
100,مطور لإنشاء منصة إلكترونية لحجوزات الفنادق والعمل,Web Development,منذ يوم,"$2,000.00 ",60 يوما,16,"برمجة, برمجة مواقع, تطوير البرمجيات, هندسة البرمجيات, إنشاء موقع إلكتروني, تطوير الويب","programing, programing web,  application development ,programming engineer, create web إلكتروني, devweb",https://mostaql.com/project/1079323-%D9%85%D8%B7%D9%88%D8%B1-%D9%84%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%84%D8%AD%D8%AC%D9%88%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D9%86%D8%A7%D8%AF%D9%82-%D9%88%D8%A7%D9%84%D8%B9%D9%85%D9%84
101,تطبيق ويب php أحتاج إلى تعديلات بسيطة لحل المشاكل,Web Development,منذ يومين,$36.00 ,1 يوم,9,"هندسة البرمجيات, برمجة, تطوير البرمجيات, PHP, برمجة مواقع, تطوير الويب الكامل"," engineering  programes , programing,  application development , PHP, programing web, devwebالكامل",https://mostaql.com/project/1079117-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D9%8A%D8%A8-php-%D8%A3%D8%AD%D8%AA%D8%A7%D8%AC-%D8%A5%D9%84%D9%89-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9-%D9%84%D8%AD%D9%84-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D9%83%D9%84
102,دعم تقني لموقع إلكتروني قائم Laravel & React js,Web Development,منذ يومين,$600.00 ,7 أيام,14,"برمجة قواعد البيانات, PHP, تطوير البرمجيات, هندسة البرمجيات, برمجة مواقع, React Native, لارافيل","programing data base, PHP,  application development ,programming engineer, programing web, React Native, laravel",https://mostaql.com/project/1079002-%D8%AF%D8%B9%D9%85-%D8%AA%D9%82%D9%86%D9%8A-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%82%D8%A7%D8%A6%D9%85-laravel-react-js
103,مستقل لحل مشكلة على موقع php,Web Development,منذ يومين,$35.00 ,3 أيام,18,"PHP, لارافيل, تحليل النظم, حل المشكلات, تطوير البرمجيات, برمجة قواعد البيانات, برمجة مواقع, هندسة البرمجيات","PHP, laravel, تحليل النظم, حل المشكلات,  application development , programing data base, programing web,programming engineer",https://mostaql.com/project/1079009-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%84%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D9%82%D8%B9-php
104,موقع ويب لمكتب المحامية أفراح عبدالله الحارثي للمحاماة والإستشارات القانونية,Web Development,منذ يومين,$225.00 ,20 يوما,40,"تصميم موقع إلكتروني, برمجة مواقع, تطوير الويب, تصميم مواقع, خدمات الويب, تطوير الويب الكامل, إنشاء موقع إلكتروني, إنشاء موقع ووردبريس","design web إلكتروني, programing web, devweb, design web, خدمات web, devwebالكامل, create web إلكتروني, create web wordpress",https://mostaql.com/project/1071615-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D9%84%D9%85%D9%83%D8%AA%D8%A8-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D9%85%D9%8A%D8%A9-%D8%A3%D9%81%D8%B1%D8%A7%D8%AD-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A7%D9%84%D8%AD%D8%A7%D8%B1%D8%AB%D9%8A-%D9%84%D9%84%D9%85%D8%AD%D8%A7%D9%85%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9
105,تطوير تطبيق موبايل لطلب المواد الغذائية صوتياً أو يدوياً مع نظام إدارة متكامل,Mobile Development,منذ يومين,"$1,000.00 ",30 يوما,8,"برمجة التطبيقات, برمجة أندرويد, برمجة, إنشاء تطبيق, تطوير التطبيقات, تصميم تطبيقات, الذكاء الاصطناعي, التعلم العميق, التعلم الآلي","programing  apps , programing android , programing, create  application, dev apps , design  applicationات, AI, deep learning, التعلم الآلي",https://mostaql.com/project/1079086-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D9%88%D8%A8%D8%A7%D9%8A%D9%84-%D9%84%D8%B7%D9%84%D8%A8-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9-%D8%B5%D9%88%D8%AA%D9%8A%D8%A7-%D8%A3%D9%88-%D9%8A%D8%AF%D9%88%D9%8A%D8%A7-%D9%85%D8%B9-%D9%86%D8%B8%D8%A7%D9%85-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84
106,مطور موقع لتصميم موقع لمحاماة واستشارات قانونية,Web Development,منذ يومين,$238.00 ,5 أيام,41,"إنشاء موقع إلكتروني, إنشاء موقع ووردبريس, تصميم موقع إلكتروني, برمجة مواقع, تطوير الويب","create web إلكتروني, create web wordpress, design web إلكتروني, programing web, devweb",https://mostaql.com/project/1079006-%D9%85%D8%B7%D9%88%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%84%D9%85%D8%AD%D8%A7%D9%85%D8%A7%D8%A9-%D9%88%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D9%82%D8%A7%D9%86%D9%88%D9%86%D9%8A%D8%A9
107,مطور واجهة أمامية React و Vite لموقع ويب رياضي,Artificial Intelligence / Machine Learning,منذ يومين,$100.00 ,15 يوما,18,"برمجة مواقع, تطوير الويب, خدمات الويب, Front End, هندسة البرمجيات, الذكاء الاصطناعي","programing web, devweb, خدمات web, Front End,programming engineer, AI",https://mostaql.com/project/1079114-%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A3%D9%85%D8%A7%D9%85%D9%8A%D8%A9-react-%D9%88-vite-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A
108,بناء برنامج محاسبي سحابي كامل متكامل,Web Development,منذ يومين,"$1,000.00 ",30 يوما,14,"جافا سكريبت, CSS, PHP, بايثون, أمن وحماية المواقع, إنشاء موقع إلكتروني, برمجة مواقع, برمجة","java script, CSS, PHP, python, أمن وحماية الweb, create web إلكتروني, programing web, programing",https://mostaql.com/project/1042541-%D8%A8%D9%86%D8%A7%D8%A1-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A-%D8%B3%D8%AD%D8%A7%D8%A8%D9%8A-%D9%83%D8%A7%D9%85%D9%84-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84
109,نماذج للقوائم المالية بالإكسل,Web Development,منذ يومين,$450.00 ,10 أيام,11,"مايكروسوفت إكسل, التقييم المالي, التحليل المالي, الإدارة المالية, تحليل الأسواق المالية, محاسبة","مايكروسوفت Excel, التقييم المالي, التحليل المالي, ال management مالية, تحليل الأسواق المالية, محاسبة",https://mostaql.com/project/1078876-%D9%86%D9%85%D8%A7%D8%B0%D8%AC-%D9%84%D9%84%D9%82%D9%88%D8%A7%D8%A6%D9%85-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%D8%A9-%D8%A8%D8%A7%D9%84%D8%A5%D9%83%D8%B3%D9%84
110,حل مشكلة في ملف قاعدة البيانات sql server رقم الخطأ 15171,Data Science,منذ يومين,$70.00 ,1 يوم,9,"إدارة قواعد البيانات, حل المشكلات, تصحيح برمجي, استكشاف الأخطاء وإصلاحها, مايكروسوفت إس كيو إل سيرفر, تطوير قاعدة بيانات, هندسة البرمجيات","إدارة data base, حل المشكلات, debugging, استكشاف الأخطاء وإصلاحها, مايكروسوفت إس كيو إل سيرفر, devقاعدة بيانات,programming engineer",https://mostaql.com/project/1079092-%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D9%81%D9%8A-%D9%85%D9%84%D9%81-%D9%82%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-sql-server-%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D8%AE%D8%B7%D8%A3-15171
111,موقع ويب وليس تطبيق بنظام QR بالباركود مع قاعدة بيانات ولوحة تحكم,Web Development,منذ يومين,$400.00 ,7 أيام,23,"إدارة قواعد البيانات, تصميم موقع إلكتروني, برمجة, برمجة مواقع, تطوير البرمجيات","إدارة data base, design web إلكتروني, programing, programing web,  application development ",https://mostaql.com/project/1079123-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%8A%D8%A8-%D9%88%D9%84%D9%8A%D8%B3-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-qr-%D8%A8%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%83%D9%88%D8%AF-%D9%85%D8%B9-%D9%82%D8%A7%D8%B9%D8%AF%D8%A9-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85
112,تصميم موقع شخصي على منصة ووردبريس,Web Development,منذ يومين,$50.00 ,5 أيام,21,"تصميم موقع إلكتروني, ووردبريس, تصميم جرافيك, تصميم شعار","design web إلكتروني, wordpress, design جرافيك, design شعار",https://mostaql.com/project/1078958-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%B4%D8%AE%D8%B5%D9%8A-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B5%D8%A9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
113,رفع سكربتين ونقل Odoo إلى VPS,Web Development,منذ يومين,$45.00 ,2 يومين,4,"تصميم موقع إلكتروني, برمجة مواقع, تطوير الويب, جافا سكريبت, تصميم مواقع, خدمات الويب, أودو, VPS","design web إلكتروني, programing web, devweb, java script, design web, خدمات web,  odoo  , VPS",https://mostaql.com/project/1079180-%D8%B1%D9%81%D8%B9-%D8%B3%D9%83%D8%B1%D8%A8%D8%AA%D9%8A%D9%86-%D9%88%D9%86%D9%82%D9%84-odoo-%D8%A5%D9%84%D9%89-vps
114,تطوير نظام لارافيل,Software Engineering,منذ يومين,$97.00 ,7 أيام,12,"لارافيل, تطوير البرمجيات, برمجة, إنشاء موقع إلكتروني, برمجة مواقع, تخطيط موارد المؤسسات ERP","laravel,  application development , programing, create web إلكتروني, programing web, ERP ERP",https://mostaql.com/project/1079204-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%86%D8%B8%D8%A7%D9%85-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84
115,تحديث موقع إلكتروني قائم وتحسين تجربة المستخدم,Web Development,منذ يومين,$90.00 ,10 أيام,13,"CSS, HTML, جافا سكريبت, PHP, بايثون, برمجة مواقع, برمجة, إدارة المواقع, تطوير البرمجيات","CSS, HTML, java script, PHP, python, programing web, programing,  management web,  application development ",https://mostaql.com/project/1079185-%D8%AA%D8%AD%D8%AF%D9%8A%D8%AB-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%AA%D8%AD%D8%B3%D9%8A%D9%86-%D8%AA%D8%AC%D8%B1%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%AE%D8%AF%D9%85
116,تصميم وبرمجة موقع تقني مبني على الذكاء الإصطناعي,Web Development,منذ يومين,$100.00 ,6 أيام,6,"جافا سكريبت, CSS, PHP, بايثون, أمن وحماية المواقع, إنشاء موقع إلكتروني, برمجة مواقع, برمجة, الذكاء الاصطناعي","java script, CSS, PHP, python, أمن وحماية الweb, create web إلكتروني, programing web, programing, AI",https://mostaql.com/project/1079080-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D9%82%D9%86%D9%8A-%D9%85%D8%A8%D9%86%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A5%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
117,عمل بوت لحجز مواعيد شاحنات,Software Engineering,منذ يومين,$135.00 ,2 يومين,4,"الروبوتات, برمجة, بوتستراب, برمجة مواقع, إدارة قواعد البيانات, تطوير قاعدة بيانات, برمجة قواعد البيانات","الروبوتات, programing, bootstrap, programing web, إدارة data base, devقاعدة بيانات, programing data base",https://mostaql.com/project/1079200-%D8%B9%D9%85%D9%84-%D8%A8%D9%88%D8%AA-%D9%84%D8%AD%D8%AC%D8%B2-%D9%85%D9%88%D8%A7%D8%B9%D9%8A%D8%AF-%D8%B4%D8%A7%D8%AD%D9%86%D8%A7%D8%AA
118,عمل conversion api setup في الفيس بوك,Web Development,منذ يومين,$32.50 ,2 يومين,2,"ووردبريس, برمجة مواقع, Back End, خدمات الويب, جافا سكريبت","wordpress, programing web, Back End, خدمات web, java script",https://mostaql.com/project/1079001-%D8%B9%D9%85%D9%84-conversion-api-setup-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%8A%D8%B3-%D8%A8%D9%88%D9%83
119,عمل لعبة 3D على Unity,Game Development,منذ يومين,$450.00 ,15 يوما,6,"تصميم ألعاب, تطوير الألعاب, برمجة ألعاب الجوال, برمجة أندرويد, برمجة iOS, هندسة البرمجيات, برمجة التطبيقات, برمجة, Unity 3D","design ألعاب, devالألعاب, programing ألعاب الجوال, programing android , programing iOS,programming engineer, programing  apps , programing, Unity 3D",https://mostaql.com/project/1078300-%D8%B9%D9%85%D9%84-%D9%84%D8%B9%D8%A8%D8%A9-3d-%D8%B9%D9%84%D9%89-unity
120,منصة تعليمية على ووردبريس,Software Engineering,منذ يومين,$95.00 ,7 أيام,7,"CSS, HTML, جافا سكريبت, PHP, بايثون, برمجة مواقع, برمجة, إدارة المواقع, تطوير البرمجيات","CSS, HTML, java script, PHP, python, programing web, programing,  management web,  application development ",https://mostaql.com/project/1079141-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3
121,خبير VPN لتفعيل VPN سعودي في مصر يدعم الإتصال,Mobile Development,منذ يومين,$60.00 ,3 أيام,3,"برمجة, تطوير البرمجيات, هندسة البرمجيات, برمجة قواعد البيانات, الحوسبة السحابية","programing,  application development ,programming engineer, programing data base, cloud computing",https://mostaql.com/project/1079049-%D8%AE%D8%A8%D9%8A%D8%B1-vpn-%D9%84%D8%AA%D9%81%D8%B9%D9%8A%D9%84-vpn-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D9%8A%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%A5%D8%AA%D8%B5%D8%A7%D9%84
122,كتابة كود بايثون لجهاز تسخين يتم تشغيله بالرازبيري باي,Software Engineering,منذ يومين,$65.00 ,4 أيام,6,"تصميم واجهة المستخدم, راسبيري باي, الهندسة الكهربائية, بايثون, برمجة","design UI, راسبيري باي, ال engineering الكهربائية, python, programing",https://mostaql.com/project/1079102-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D9%83%D9%88%D8%AF-%D8%A8%D8%A7%D9%8A%D8%AB%D9%88%D9%86-%D9%84%D8%AC%D9%87%D8%A7%D8%B2-%D8%AA%D8%B3%D8%AE%D9%8A%D9%86-%D9%8A%D8%AA%D9%85-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84%D9%87-%D8%A8%D8%A7%D9%84%D8%B1%D8%A7%D8%B2%D8%A8%D9%8A%D8%B1%D9%8A-%D8%A8%D8%A7%D9%8A
123,بناء موقع وأبليكيشن لعرض إعلانات,Web Development,منذ يومين,"$4,500.00 ",150 يوما,12,"إنشاء موقع إلكتروني, برمجة التطبيقات, إنشاء تطبيق, برمجة, برمجة مواقع","create web إلكتروني, programing  apps , create  application, programing, programing web",https://mostaql.com/project/1079111-%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%A3%D8%A8%D9%84%D9%8A%D9%83%D9%8A%D8%B4%D9%86-%D9%84%D8%B9%D8%B1%D8%B6-%D8%A5%D8%B9%D9%84%D8%A7%D9%86%D8%A7%D8%AA
124,تصميم موقع إلكتروني وإدخال منتجات وعمل تطبيق وصفحات سونيل ميديا مع تسويق إلكتروني له,Web Development,منذ يومين,$200.00 ,10 أيام,4,"برمجة مواقع, برمجة, إدارة المواقع, تطوير البرمجيات, إدارة المتاجر الإلكترونية, إنشاء تطبيق, تصميم تطبيقات, إنشاء موقع ووردبريس, التسويق الإلكتروني","programing web, programing,  management web,  application development ,  management متاجر الإلكترونية, create  application, design  applicationات, create web wordpress, التسويق الإلكتروني",https://mostaql.com/project/1076755-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%88%D8%A5%D8%AF%D8%AE%D8%A7%D9%84-%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA-%D9%88%D8%B9%D9%85%D9%84-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D8%B5%D9%81%D8%AD%D8%A7%D8%AA-%D8%B3%D9%88%D9%86%D9%8A%D9%84-%D9%85%D9%8A%D8%AF%D9%8A%D8%A7-%D9%85%D8%B9-%D8%AA%D8%B3%D9%88%D9%8A%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%87
